python is very useful for data science and deep learning. I was enjoying while learning python and it is better than c programming languages ı think. I am still learning python and ı am trying to improve myself. 
pythonda sunu yapabiliyorsunuz : oyun 
pythonda sunu yapabiliyorsunuz : web sitesi
pythonda sunu yapabiliyorsunuz : veri bilimi
pythonda sunu yapabiliyorsunuz : derin ogrenme
pythonda sunu yapabiliyorsunuz : yapay zeka
pythonda sunu yapabiliyorsunuz : makine ogrenmesi
pythonda sunu yapabiliyorsunuz : veri analizi
pythonda sunu yapabiliyorsunuz : veri gorsellestirme
pythonda sunu yapabiliyorsunuz : veri madenciligi
pythonda sunu yapabiliyorsunuz : veri muhendisligi
pythonda sunu yapabiliyorsunuz : veri analitigi
